,Fecha,Institución Financiera,Tipo,Subtipo,Valor,Tipo de moneda
244,8-2014,Banco Bice,Depósito,Depósitos a plazo,512.0,Dolar
245,9-2014,Banco Bice,Depósito,Depósitos a plazo,516.0,Dolar
246,10-2014,Banco Bice,Depósito,Depósitos a plazo,549.0,Dolar
247,11-2014,Banco Bice,Depósito,Depósitos a plazo,622.0,Dolar
248,12-2014,Banco Bice,Depósito,Depósitos a plazo,747.0,Dolar
249,1-2015,Banco Bice,Depósito,Depósitos a plazo,698.0,Dolar
250,2-2015,Banco Bice,Depósito,Depósitos a plazo,667.0,Dolar
251,3-2015,Banco Bice,Depósito,Depósitos a plazo,616.0,Dolar
252,4-2015,Banco Bice,Depósito,Depósitos a plazo,516.0,Dolar
253,5-2015,Banco Bice,Depósito,Depósitos a plazo,573.0,Dolar
254,6-2015,Banco Bice,Depósito,Depósitos a plazo,576.0,Dolar
255,7-2015,Banco Bice,Depósito,Depósitos a plazo,576.0,Dolar
256,8-2015,Banco Bice,Depósito,Depósitos a plazo,498.0,Dolar
257,9-2015,Banco Bice,Depósito,Depósitos a plazo,513.0,Dolar
258,10-2015,Banco Bice,Depósito,Depósitos a plazo,493.0,Dolar
259,11-2015,Banco Bice,Depósito,Depósitos a plazo,584.0,Dolar
260,12-2015,Banco Bice,Depósito,Depósitos a plazo,498.0,Dolar
261,1-2016,Banco Bice,Depósito,Depósitos a plazo,459.0,Dolar
262,2-2016,Banco Bice,Depósito,Depósitos a plazo,488.0,Dolar
263,3-2016,Banco Bice,Depósito,Depósitos a plazo,536.0,Dolar
264,4-2016,Banco Bice,Depósito,Depósitos a plazo,526.0,Dolar
265,5-2016,Banco Bice,Depósito,Depósitos a plazo,595.0,Dolar
266,6-2016,Banco Bice,Depósito,Depósitos a plazo,624.0,Dolar
267,7-2016,Banco Bice,Depósito,Depósitos a plazo,487.0,Dolar
268,8-2016,Banco Bice,Depósito,Depósitos a plazo,390.0,Dolar
269,9-2016,Banco Bice,Depósito,Depósitos a plazo,400.0,Dolar
270,10-2016,Banco Bice,Depósito,Depósitos a plazo,466.0,Dolar
271,11-2016,Banco Bice,Depósito,Depósitos a plazo,471.0,Dolar
272,12-2016,Banco Bice,Depósito,Depósitos a plazo,462.0,Dolar
273,1-2017,Banco Bice,Depósito,Depósitos a plazo,447.0,Dolar
274,2-2017,Banco Bice,Depósito,Depósitos a plazo,482.0,Dolar
275,3-2017,Banco Bice,Depósito,Depósitos a plazo,498.0,Dolar
276,4-2017,Banco Bice,Depósito,Depósitos a plazo,596.0,Dolar
277,5-2017,Banco Bice,Depósito,Depósitos a plazo,598.0,Dolar
278,6-2017,Banco Bice,Depósito,Depósitos a plazo,614.0,Dolar
279,7-2017,Banco Bice,Depósito,Depósitos a plazo,672.0,Dolar
280,8-2017,Banco Bice,Depósito,Depósitos a plazo,786.0,Dolar
281,9-2017,Banco Bice,Depósito,Depósitos a plazo,771.0,Dolar
282,10-2017,Banco Bice,Depósito,Depósitos a plazo,739.0,Dolar
283,11-2017,Banco Bice,Depósito,Depósitos a plazo,712.0,Dolar
284,12-2017,Banco Bice,Depósito,Depósitos a plazo,590.0,Dolar
285,1-2018,Banco Bice,Depósito,Depósitos a plazo,616.0,Dolar
286,2-2018,Banco Bice,Depósito,Depósitos a plazo,644.0,Dolar
287,3-2018,Banco Bice,Depósito,Depósitos a plazo,723.0,Dolar
288,4-2018,Banco Bice,Depósito,Depósitos a plazo,746.0,Dolar
289,5-2018,Banco Bice,Depósito,Depósitos a plazo,786.0,Dolar
290,6-2018,Banco Bice,Depósito,Depósitos a plazo,691.0,Dolar
291,7-2018,Banco Bice,Depósito,Depósitos a plazo,739.0,Dolar
292,8-2018,Banco Bice,Depósito,Depósitos a plazo,709.0,Dolar
293,9-2018,Banco Bice,Depósito,Depósitos a plazo,688.0,Dolar
294,10-2018,Banco Bice,Depósito,Depósitos a plazo,719.0,Dolar
295,11-2018,Banco Bice,Depósito,Depósitos a plazo,683.0,Dolar
296,12-2018,Banco Bice,Depósito,Depósitos a plazo,610.0,Dolar
297,1-2019,Banco Bice,Depósito,Depósitos a plazo,683.0,Dolar
298,2-2019,Banco Bice,Depósito,Depósitos a plazo,635.0,Dolar
299,3-2019,Banco Bice,Depósito,Depósitos a plazo,541.0,Dolar
300,4-2019,Banco Bice,Depósito,Depósitos a plazo,660.0,Dolar
301,5-2019,Banco Bice,Depósito,Depósitos a plazo,714.0,Dolar
302,6-2019,Banco Bice,Depósito,Depósitos a plazo,702.0,Dolar
303,7-2019,Banco Bice,Depósito,Depósitos a plazo,674.0,Dolar
304,8-2019,Banco Bice,Depósito,Depósitos a plazo,597.0,Dolar
305,9-2019,Banco Bice,Depósito,Depósitos a plazo,585.0,Dolar
306,10-2019,Banco Bice,Depósito,Depósitos a plazo,674.0,Dolar
307,11-2019,Banco Bice,Depósito,Depósitos a plazo,635.0,Dolar
308,12-2019,Banco Bice,Depósito,Depósitos a plazo,820.0,Dolar
309,1-2020,Banco Bice,Depósito,Depósitos a plazo,790.0,Dolar
310,2-2020,Banco Bice,Depósito,Depósitos a plazo,717.0,Dolar
311,3-2020,Banco Bice,Depósito,Depósitos a plazo,647.0,Dolar
312,4-2020,Banco Bice,Depósito,Depósitos a plazo,665.0,Dolar
313,5-2020,Banco Bice,Depósito,Depósitos a plazo,678.0,Dolar
314,6-2020,Banco Bice,Depósito,Depósitos a plazo,595.0,Dolar
315,7-2020,Banco Bice,Depósito,Depósitos a plazo,578.0,Dolar
316,8-2020,Banco Bice,Depósito,Depósitos a plazo,581.0,Dolar
317,9-2020,Banco Bice,Depósito,Depósitos a plazo,532.0,Dolar
318,10-2020,Banco Bice,Depósito,Depósitos a plazo,502.0,Dolar
319,11-2020,Banco Bice,Depósito,Depósitos a plazo,519.0,Dolar
320,12-2020,Banco Bice,Depósito,Depósitos a plazo,518.0,Dolar
321,1-2021,Banco Bice,Depósito,Depósitos a plazo,490.0,Dolar
322,2-2021,Banco Bice,Depósito,Depósitos a plazo,641.0,Dolar
323,3-2021,Banco Bice,Depósito,Depósitos a plazo,633.0,Dolar
324,4-2021,Banco Bice,Depósito,Depósitos a plazo,630.0,Dolar
325,5-2021,Banco Bice,Depósito,Depósitos a plazo,589.0,Dolar
326,6-2021,Banco Bice,Depósito,Depósitos a plazo,676.0,Dolar
327,7-2021,Banco Bice,Depósito,Depósitos a plazo,691.0,Dolar
